2019-01-11 23:07:38,592:    |cuda
2019-01-11 23:07:40,274:    |==> Building model..
2019-01-11 23:07:43,705:    |restart
2019-01-11 23:08:38,380:    |Epoch: 0, train acc: 0.39, test acc: 0.50
2019-01-11 23:08:38,380:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:09:14,542:    |Epoch: 1, train acc: 0.60, test acc: 0.64
2019-01-11 23:09:14,543:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:09:53,389:    |Epoch: 2, train acc: 0.68, test acc: 0.65
2019-01-11 23:09:53,389:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:10:32,012:    |Epoch: 3, train acc: 0.73, test acc: 0.74
2019-01-11 23:10:32,013:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:11:11,914:    |Epoch: 4, train acc: 0.77, test acc: 0.80
2019-01-11 23:11:11,915:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:11:51,011:    |Epoch: 5, train acc: 0.80, test acc: 0.81
2019-01-11 23:11:51,011:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:12:30,554:    |Epoch: 6, train acc: 0.82, test acc: 0.81
2019-01-11 23:12:30,555:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:13:09,195:    |Epoch: 7, train acc: 0.84, test acc: 0.84
2019-01-11 23:13:09,196:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:13:48,655:    |Epoch: 8, train acc: 0.85, test acc: 0.85
2019-01-11 23:13:48,655:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:14:27,857:    |Epoch: 9, train acc: 0.86, test acc: 0.84
2019-01-11 23:14:27,857:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:15:07,191:    |Epoch: 10, train acc: 0.87, test acc: 0.86
2019-01-11 23:15:07,191:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:15:45,475:    |Epoch: 11, train acc: 0.88, test acc: 0.86
2019-01-11 23:15:45,475:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:16:22,602:    |Epoch: 12, train acc: 0.89, test acc: 0.86
2019-01-11 23:16:22,603:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:16:58,397:    |Epoch: 13, train acc: 0.90, test acc: 0.86
2019-01-11 23:16:58,397:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:17:36,655:    |Epoch: 14, train acc: 0.91, test acc: 0.87
2019-01-11 23:17:36,656:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:18:14,980:    |Epoch: 15, train acc: 0.91, test acc: 0.86
2019-01-11 23:18:14,980:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:18:54,691:    |Epoch: 16, train acc: 0.92, test acc: 0.88
2019-01-11 23:18:54,691:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:19:34,223:    |Epoch: 17, train acc: 0.92, test acc: 0.88
2019-01-11 23:19:34,224:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:20:13,898:    |Epoch: 18, train acc: 0.92, test acc: 0.89
2019-01-11 23:20:13,898:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 23:20:52,637:    |Epoch: 19, train acc: 0.93, test acc: 0.89
2019-01-11 23:20:52,638:    |Saving...
2019-01-11 23:20:52,701:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
