2019-01-10 22:48:00,508:    |cuda
2019-01-10 22:48:02,253:    |==> Building model..
2019-01-10 22:48:06,024:    |restart
2019-01-10 22:49:27,946:    |Epoch: 0, train acc: 0.45, test acc: 0.52
2019-01-10 22:49:27,947:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:50:33,350:    |Epoch: 1, train acc: 0.62, test acc: 0.66
2019-01-10 22:50:33,350:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:51:38,805:    |Epoch: 2, train acc: 0.69, test acc: 0.72
2019-01-10 22:51:38,805:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:52:44,385:    |Epoch: 3, train acc: 0.75, test acc: 0.71
2019-01-10 22:52:44,385:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:53:50,446:    |Epoch: 4, train acc: 0.78, test acc: 0.78
2019-01-10 22:53:50,446:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:54:55,967:    |Epoch: 5, train acc: 0.80, test acc: 0.76
2019-01-10 22:54:55,967:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:56:01,099:    |Epoch: 6, train acc: 0.82, test acc: 0.80
2019-01-10 22:56:01,099:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:57:06,867:    |Epoch: 7, train acc: 0.83, test acc: 0.82
2019-01-10 22:57:06,867:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:58:12,014:    |Epoch: 8, train acc: 0.84, test acc: 0.80
2019-01-10 22:58:12,014:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 22:59:17,287:    |Epoch: 9, train acc: 0.85, test acc: 0.83
2019-01-10 22:59:17,287:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:00:22,967:    |Epoch: 10, train acc: 0.85, test acc: 0.85
2019-01-10 23:00:22,967:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:01:28,178:    |Epoch: 11, train acc: 0.86, test acc: 0.85
2019-01-10 23:01:28,178:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:02:33,177:    |Epoch: 12, train acc: 0.87, test acc: 0.85
2019-01-10 23:02:33,177:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:03:38,911:    |Epoch: 13, train acc: 0.87, test acc: 0.84
2019-01-10 23:03:38,911:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:04:43,681:    |Epoch: 14, train acc: 0.87, test acc: 0.86
2019-01-10 23:04:43,681:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:05:48,948:    |Epoch: 15, train acc: 0.88, test acc: 0.87
2019-01-10 23:05:48,948:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:06:53,813:    |Epoch: 16, train acc: 0.88, test acc: 0.86
2019-01-10 23:06:53,814:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:07:59,253:    |Epoch: 17, train acc: 0.88, test acc: 0.85
2019-01-10 23:07:59,253:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:09:04,006:    |Epoch: 18, train acc: 0.88, test acc: 0.85
2019-01-10 23:09:04,006:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:10:08,880:    |Epoch: 19, train acc: 0.89, test acc: 0.86
2019-01-10 23:10:08,880:    |Saving...
2019-01-10 23:10:08,933:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:11:13,756:    |Epoch: 20, train acc: 0.89, test acc: 0.88
2019-01-10 23:11:13,756:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:12:18,064:    |Epoch: 21, train acc: 0.89, test acc: 0.86
2019-01-10 23:12:18,065:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:13:22,865:    |Epoch: 22, train acc: 0.89, test acc: 0.88
2019-01-10 23:13:22,866:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:14:28,023:    |Epoch: 23, train acc: 0.90, test acc: 0.87
2019-01-10 23:14:28,023:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:15:32,697:    |Epoch: 24, train acc: 0.90, test acc: 0.89
2019-01-10 23:15:32,697:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:16:37,892:    |Epoch: 25, train acc: 0.90, test acc: 0.88
2019-01-10 23:16:37,892:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:17:43,406:    |Epoch: 26, train acc: 0.90, test acc: 0.87
2019-01-10 23:17:43,406:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:18:47,843:    |Epoch: 27, train acc: 0.90, test acc: 0.88
2019-01-10 23:18:47,843:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-10 23:19:52,361:    |Epoch: 28, train acc: 0.90, test acc: 0.89
2019-01-10 23:19:52,361:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
