2019-01-11 03:27:39,556:    |cuda
2019-01-11 03:27:41,379:    |==> Building model..
2019-01-11 03:27:44,987:    |restart
2019-01-11 03:29:32,984:    |Epoch: 0, train acc: 0.47, test acc: 0.57
2019-01-11 03:29:32,984:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:31:03,311:    |Epoch: 1, train acc: 0.63, test acc: 0.67
2019-01-11 03:31:03,311:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:32:33,563:    |Epoch: 2, train acc: 0.71, test acc: 0.71
2019-01-11 03:32:33,564:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:34:02,966:    |Epoch: 3, train acc: 0.75, test acc: 0.74
2019-01-11 03:34:02,966:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:35:32,292:    |Epoch: 4, train acc: 0.78, test acc: 0.77
2019-01-11 03:35:32,292:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:37:01,047:    |Epoch: 5, train acc: 0.80, test acc: 0.79
2019-01-11 03:37:01,047:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:38:31,352:    |Epoch: 6, train acc: 0.82, test acc: 0.82
2019-01-11 03:38:31,352:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:40:00,546:    |Epoch: 7, train acc: 0.83, test acc: 0.82
2019-01-11 03:40:00,547:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:41:30,167:    |Epoch: 8, train acc: 0.84, test acc: 0.81
2019-01-11 03:41:30,167:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 03:42:59,795:    |Epoch: 9, train acc: 0.85, test acc: 0.82
