2019-01-11 13:43:16,181:    |cuda
2019-01-11 13:43:17,805:    |==> Building model..
2019-01-11 13:43:20,460:    |restart
2019-01-11 13:44:11,986:    |Epoch: 0, train acc: 0.19, test acc: 0.28
2019-01-11 13:44:11,986:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:44:44,075:    |Epoch: 1, train acc: 0.33, test acc: 0.39
2019-01-11 13:44:44,076:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:45:16,239:    |Epoch: 2, train acc: 0.49, test acc: 0.55
2019-01-11 13:45:16,239:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:45:48,331:    |Epoch: 3, train acc: 0.62, test acc: 0.65
2019-01-11 13:45:48,332:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:46:20,440:    |Epoch: 4, train acc: 0.69, test acc: 0.69
2019-01-11 13:46:20,440:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:46:52,359:    |Epoch: 5, train acc: 0.73, test acc: 0.75
2019-01-11 13:46:52,359:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:47:24,251:    |Epoch: 6, train acc: 0.76, test acc: 0.76
2019-01-11 13:47:24,252:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:47:56,152:    |Epoch: 7, train acc: 0.79, test acc: 0.77
2019-01-11 13:47:56,152:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:48:28,082:    |Epoch: 8, train acc: 0.81, test acc: 0.80
2019-01-11 13:48:28,083:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:49:00,277:    |Epoch: 9, train acc: 0.82, test acc: 0.82
2019-01-11 13:49:00,278:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:49:32,398:    |Epoch: 10, train acc: 0.83, test acc: 0.79
2019-01-11 13:49:32,399:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:50:04,217:    |Epoch: 11, train acc: 0.85, test acc: 0.82
2019-01-11 13:50:04,218:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:50:36,304:    |Epoch: 12, train acc: 0.86, test acc: 0.85
2019-01-11 13:50:36,304:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:51:08,123:    |Epoch: 13, train acc: 0.87, test acc: 0.85
2019-01-11 13:51:08,124:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:51:39,997:    |Epoch: 14, train acc: 0.88, test acc: 0.86
2019-01-11 13:51:39,997:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:52:12,022:    |Epoch: 15, train acc: 0.88, test acc: 0.85
2019-01-11 13:52:12,023:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:52:43,996:    |Epoch: 16, train acc: 0.89, test acc: 0.86
2019-01-11 13:52:43,996:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:53:16,070:    |Epoch: 17, train acc: 0.90, test acc: 0.86
2019-01-11 13:53:16,070:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:53:48,253:    |Epoch: 18, train acc: 0.90, test acc: 0.87
2019-01-11 13:53:48,253:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:54:20,007:    |Epoch: 19, train acc: 0.91, test acc: 0.86
2019-01-11 13:54:20,008:    |Saving...
2019-01-11 13:54:20,073:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:54:52,223:    |Epoch: 20, train acc: 0.91, test acc: 0.88
2019-01-11 13:54:52,223:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:55:24,166:    |Epoch: 21, train acc: 0.92, test acc: 0.86
2019-01-11 13:55:24,166:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:55:56,112:    |Epoch: 22, train acc: 0.92, test acc: 0.86
2019-01-11 13:55:56,112:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:56:28,375:    |Epoch: 23, train acc: 0.93, test acc: 0.88
2019-01-11 13:56:28,376:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:57:00,520:    |Epoch: 24, train acc: 0.93, test acc: 0.87
2019-01-11 13:57:00,521:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:57:32,410:    |Epoch: 25, train acc: 0.93, test acc: 0.89
2019-01-11 13:57:32,411:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:58:04,184:    |Epoch: 26, train acc: 0.94, test acc: 0.88
2019-01-11 13:58:04,184:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:58:36,217:    |Epoch: 27, train acc: 0.94, test acc: 0.89
2019-01-11 13:58:36,217:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:59:08,488:    |Epoch: 28, train acc: 0.94, test acc: 0.89
2019-01-11 13:59:08,489:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 13:59:40,624:    |Epoch: 29, train acc: 0.95, test acc: 0.89
2019-01-11 13:59:40,624:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
