2019-01-11 07:21:31,747:    |cuda
2019-01-11 07:21:33,442:    |==> Building model..
2019-01-11 07:21:36,446:    |restart
2019-01-11 07:22:37,261:    |Epoch: 0, train acc: 0.46, test acc: 0.59
2019-01-11 07:22:37,262:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:23:19,752:    |Epoch: 1, train acc: 0.64, test acc: 0.69
2019-01-11 07:23:19,752:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:24:02,089:    |Epoch: 2, train acc: 0.73, test acc: 0.77
2019-01-11 07:24:02,089:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:24:44,354:    |Epoch: 3, train acc: 0.77, test acc: 0.79
2019-01-11 07:24:44,355:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:25:27,170:    |Epoch: 4, train acc: 0.81, test acc: 0.81
2019-01-11 07:25:27,171:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:26:09,643:    |Epoch: 5, train acc: 0.83, test acc: 0.82
2019-01-11 07:26:09,643:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:26:51,854:    |Epoch: 6, train acc: 0.85, test acc: 0.84
2019-01-11 07:26:51,854:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:27:34,302:    |Epoch: 7, train acc: 0.86, test acc: 0.82
2019-01-11 07:27:34,303:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:28:16,795:    |Epoch: 8, train acc: 0.87, test acc: 0.87
2019-01-11 07:28:16,796:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:28:59,151:    |Epoch: 9, train acc: 0.89, test acc: 0.86
2019-01-11 07:28:59,152:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:29:41,683:    |Epoch: 10, train acc: 0.90, test acc: 0.87
2019-01-11 07:29:41,684:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:30:24,179:    |Epoch: 11, train acc: 0.90, test acc: 0.86
2019-01-11 07:30:24,179:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:31:06,681:    |Epoch: 12, train acc: 0.91, test acc: 0.88
2019-01-11 07:31:06,681:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:31:49,099:    |Epoch: 13, train acc: 0.92, test acc: 0.88
2019-01-11 07:31:49,099:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:32:31,602:    |Epoch: 14, train acc: 0.92, test acc: 0.88
2019-01-11 07:32:31,602:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:33:13,882:    |Epoch: 15, train acc: 0.93, test acc: 0.89
2019-01-11 07:33:13,883:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:33:56,281:    |Epoch: 16, train acc: 0.93, test acc: 0.90
2019-01-11 07:33:56,281:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:34:38,785:    |Epoch: 17, train acc: 0.94, test acc: 0.89
2019-01-11 07:34:38,785:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:35:21,198:    |Epoch: 18, train acc: 0.94, test acc: 0.90
2019-01-11 07:35:21,199:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 07:36:03,697:    |Epoch: 19, train acc: 0.95, test acc: 0.90
2019-01-11 07:36:03,697:    |Saving...
2019-01-11 07:36:03,758:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
