2019-01-11 09:44:00,680:    |cuda
2019-01-11 09:44:02,499:    |==> Building model..
2019-01-11 09:44:05,271:    |restart
2019-01-11 09:45:06,560:    |Epoch: 0, train acc: 0.46, test acc: 0.52
2019-01-11 09:45:06,560:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:45:49,565:    |Epoch: 1, train acc: 0.64, test acc: 0.63
2019-01-11 09:45:49,566:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:46:32,568:    |Epoch: 2, train acc: 0.71, test acc: 0.69
2019-01-11 09:46:32,568:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:47:15,232:    |Epoch: 3, train acc: 0.75, test acc: 0.75
2019-01-11 09:47:15,233:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:47:57,852:    |Epoch: 4, train acc: 0.78, test acc: 0.80
2019-01-11 09:47:57,852:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:48:40,766:    |Epoch: 5, train acc: 0.81, test acc: 0.77
2019-01-11 09:48:40,767:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:49:23,852:    |Epoch: 6, train acc: 0.82, test acc: 0.82
2019-01-11 09:49:23,852:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:50:06,639:    |Epoch: 7, train acc: 0.83, test acc: 0.83
2019-01-11 09:50:06,639:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:50:49,289:    |Epoch: 8, train acc: 0.84, test acc: 0.83
2019-01-11 09:50:49,290:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:51:32,051:    |Epoch: 9, train acc: 0.85, test acc: 0.82
2019-01-11 09:51:32,052:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 09:52:15,017:    |Epoch: 10, train acc: 0.86, test acc: 0.83
