2019-01-11 20:15:10,943:    |cuda
2019-01-11 20:15:12,836:    |==> Building model..
2019-01-11 20:15:16,668:    |restart
2019-01-11 20:16:37,079:    |Epoch: 0, train acc: 0.48, test acc: 0.60
2019-01-11 20:16:37,080:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:17:40,027:    |Epoch: 1, train acc: 0.63, test acc: 0.69
2019-01-11 20:17:40,027:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:18:43,045:    |Epoch: 2, train acc: 0.70, test acc: 0.70
2019-01-11 20:18:43,045:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:19:45,859:    |Epoch: 3, train acc: 0.74, test acc: 0.74
2019-01-11 20:19:45,859:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:20:48,496:    |Epoch: 4, train acc: 0.77, test acc: 0.78
2019-01-11 20:20:48,496:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:21:53,317:    |Epoch: 5, train acc: 0.79, test acc: 0.79
2019-01-11 20:21:53,318:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:22:58,269:    |Epoch: 6, train acc: 0.81, test acc: 0.81
2019-01-11 20:22:58,269:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:24:04,071:    |Epoch: 7, train acc: 0.82, test acc: 0.81
2019-01-11 20:24:04,071:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:25:07,069:    |Epoch: 8, train acc: 0.83, test acc: 0.82
2019-01-11 20:25:07,069:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:26:09,286:    |Epoch: 9, train acc: 0.84, test acc: 0.81
2019-01-11 20:26:09,286:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:27:12,215:    |Epoch: 10, train acc: 0.85, test acc: 0.83
2019-01-11 20:27:12,216:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:28:18,907:    |Epoch: 11, train acc: 0.86, test acc: 0.85
2019-01-11 20:28:18,908:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:29:25,375:    |Epoch: 12, train acc: 0.87, test acc: 0.83
2019-01-11 20:29:25,375:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:30:32,535:    |Epoch: 13, train acc: 0.87, test acc: 0.84
2019-01-11 20:30:32,535:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:31:38,800:    |Epoch: 14, train acc: 0.88, test acc: 0.84
2019-01-11 20:31:38,801:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:32:46,001:    |Epoch: 15, train acc: 0.88, test acc: 0.84
2019-01-11 20:32:46,001:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:33:48,975:    |Epoch: 16, train acc: 0.89, test acc: 0.85
2019-01-11 20:33:48,975:    |^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2019-01-11 20:34:52,277:    |Epoch: 17, train acc: 0.90, test acc: 0.85
